Nombre,Precio USD,Dirección,M2 Totales,Ambientes,Baños
"Casa Colastiné 1355m², a 15min Centro Santa Fe",172.000,Calle Matacos 3000,1355,4,2
COMPLETA CASA EN MONTE VERA - SANTA FE,60.000,Juan Domingo Peron 6000,114,7,2
TERRENO EN VENTA EN VILLA ADELINA-SAUCE VIEJO,30.000,Calle 8 4600,,,
VENTA DE COCHERA,5.800,Uruguay 3600,8.83,,
Departamento 1 dormitorio Edif FENIX,145.000,Boulevard Pellegrini 2700,51,2,1
DEPARTAMENTO A ESTRENAR 3 DORMITORIOS TORRE FÉNIX,380.000,Boulevard Pellegrini 2700,127.9,5,2
VENTA DE CASA P.B (PH) COCHERA P/ 2 AUTOS.,70.000,Manuel Alberti 2900,80,3,1
"Quinta a la venta en ""Lagos del Leyes""",36.000,Calle Palma Real 2500,300,2,1
Se vende casa 3 dormitorios - Santo Tome,40.000,Obispo Gelabert 3900,254,4,1
OPORTUNIDAD DE INVERSION,180.000,Calle 15 y Medio 0,420,2,1
Casa en venta en Arroyo Leyes,60.000,Calle 15 0,85,2,1
Casa en venta en Arroyo Leyes,Solicitar precio,Teresa de Calcuta 0,90,2,1
Casa en Arroyo Leyes,Solicitar precio,Calle 15 0,85,2,1
CASA 3 DORMITORIOS+QUINCHO+PILETA,140.000,Huergo 3300,203,6,2
VENTA TORRE SAKURA-EN POZO-S/BOULEVARD-DPTO 1 DORM,107.500,Boulevard Pellegrini 2800,46.35,2,1
Venta de Casa + Local comercial + Galpón en Recreo,100.000,J. D. y Clucellas 1400,319,9,2
Lote en Los Domingos,28.000,Calle Desconocida  S/N,,,
Venta Gran terreno al ingreso del Country Ubajay,120.000,Callejón Pintos y Emilia Bordesio S/N,,,
TERRENO EN VENTA- 903m2- Pje. La Costa- MONTE VERA,25.000,Paraje la Costa S/N,,,
"DPTO DE 1 DORMIT. EN 2 PISO, CON BALCÓN Y ASADOR.",72.600.283ARS,Pedro Díaz Colodrero 3200,58.89,3,2
Excelente Propiedad Candioti Sur 2 dormi y Pileta,157.000,Gobernador Candioti 2000,110,2,1
CASA FAMILIAR: 2 PISOS DE ESPACIO Y COMODIDAD¡¡¡,68.000,4 de Enero 7300,177,6,2
"REMAX VENDE CASA 2 DORM, 1BAÑO, BARRIO SAN MARTIN.",28.000,Europa 7200,203,3,1
LOTE BIEN UBICADO EN EL NORTE DE LA CIUDAD,20.000,Callejón Aguirre 5300,,,
Terreno excelente Ubicacion Brisas del Lujan,28.000,Mauri 3000,,,
CASA A LA VENTA EN BARRIO SARGENTO CABRAL,88.000,Las Heras 5200,296,1,1
CASA A LA VENTA 3 DORMITORIOS EN BARRIO MAYORAZ,65.000,Pasaje Ingenieros 6300,296.59,3,1
Dpto. 2 dormitorios y cochera en Santomás,80.000,Autopista Rosario 0,78,3,1
ZONA BARRIO SUR DE SANTA FE,140.000,Pasaje Quiroga 1400,176,5,2
Terreno en loteo El Carmen-Sauce Viejo-FINANCIADO,18.000,"Ruta Nacional 11 Km 445 400, Sauce Viejo, Santa Fe Capital, Santa Fe S/N",,,
GRAN Semipiso al frente 4 ambientes y 2 cocheras.,370.000,Alberdi 3400,130,4,2
Se vende casa con pileta en Los Molinos,Solicitar precio,"Los Molinos 17,18,19,20 0",200,4,3
DEPOSITO/GALPÓN EN ZONA NORTE,83.000,Juan Larrea 2700,183,,1
Se vende piso y dos cocheras a Mts de Boulevard,Solicitar precio,Güemes 3200,140,4,2
Se venden dos casas quintas en Arroyo Leyes,75.000,Boulevard los Carolinos 0,160,3,1
Se venden dos casas quintas en Arroyo Leyes,48.000,Boulevard los Carolinos 3000,160,2,1
Casa 2 dormitorios con cochera en Barrio Candioti,130.000,Chacabuco 1200,150,5,1
VENTA DPTO. 1 DORMITORIO en BARRIO CONSTITUYENTES,Solicitar precio,Urquiza 3400,44,2,1
VENTA CASA 3 DORM  B° SUR ZONA CASCO HISTÓRICO,185.000,9 de Julio 1600,225,7,3
Venta - Departamento Zona Centro,50.000,Hipolito Irigoyen 2600,40,2,1
TERRENO EN VENTA  |  Los Molinos Country Club,35.000,Los Molinos Country Club S/N,,,
CASA A REFACCIONAR c/patio y cochera | Barrio Roma,40.000,Juan Díaz de Solís 2400,100.37,3,1
VENTA DEPTO DE 1 DORM EN POZO SANTA FE CENTRICO,129.702.000ARS,1º de Mayo 2500,45,2,1
VENTA DEPARTAMENTO DE 1 DORM EN POZO SANTA FE,123.058.000ARS,1º de Mayo 2500,67,3,1
VENTA DEPARTAMENTO DE 2 DORM EN POZO SANTA FE,178.762.000ARS,1º de Mayo 2500,67,3,1
VENTA DEPARTAMENTO 1 A ESTRENAR SANTO TOME,87.000,Macia 2000,48,2,1
OFICINAS EN VENTA ETAPA II - RIO ARRIBA 3° PISO,132.545.000ARS,Angela Teresa Vigetti 0,69,,2
OFICINAS EN VENTA ETAPA II - RIO ARRIBA,88.000.000ARS,Angela Teresa Vigetti 0,44,,2
VENTA DE TERRENOS EN NUEVOS AIRES - SANTO TOME B°6,65.754,Autopista Rosario - Santa Fe S/N,,,
VENTA DE PLANTA ALTA,125.000,9 de Julio 2000,99,4,2
OFICINAS EN VENTA ETAPA I RIO ARRIBA VISTA AL RIO,82.709,Angela Teresa Vigetti 0,37,,2
OFICINAS EN VENTA ETAPA I RIO ARRIBA VISTA AL RIO,77.250,Angela Teresa Vigetti 0,37,,2
Se vende casa a refaccionar con Dpto interno,Solicitar precio,Moreno 3400,42,2,1
"Lote 10,55 x 30m - Altos del Valle - A 150m de Av.",40.000,Pedro Espinosa S/N,,,
VENTA DE COCHERA V.SARFIELD Y BV. GALVEZ,12.500,Velez Sarfield 3400,15,,
""" LOS MOLINOS"" SE VENDE CASA EN CONSTRUCCION",160.000,"Calle Publica 11, Mzna 8, Lotes 29/30 0",723,5,3
VENTA Casa con patio verde y 2 dormitorios,65.000,Obispo Gelabert 3800,161.14,5,2
"Quinta con pileta en calle 42, Arroyo Leyes",60.000,Calle 42 0,855,2,1
VENTA QUINTA A 200 MTS DE LA RUTA 1 - ARROYO LEYES,48.000,Garabatos S/n Lote 49 Manzana 0249 0,600,2,2
SE VENDE GALPON CON GRAN TERRENO SOBRE BLAS PARERA,Solicitar precio,Avenida Blas Parera 9300,400,,1
VENTA DEPTO 1 DORM EN POZO CONSTITUYENTES STA FE,95.000,4 de Enero 3000,50,2,1
"se vende terreno en Colastine Norte, ALDEA SETUBAL",41.500,Calle los Eucaliptus 4500,,,
VENTA!! Casa en Guadalupe 4 dormitorios,180.000,Talcahuano 7500,203,5,2
VENTA TERRENO EN ZONA NORTE CON MEJORAS,23.000,Doctor Zavalla 8100,,,
CASA QUINTA DE LUJO EN EL CORAZON DE VILLA CALIFOR,320.000,Verbena 1200,3000,7,5
Se vende casa en Barrio Centro de Santo Tome,Solicitar precio,Pasaje Briggiler 1800,209,3,1
PB en Av. Freyre de 4 dormitorios.,92.000,Avenida Gobernador Freyre 3100,153,5,1
Se vende Terreno a Mts de Avenida!,35.000,Calle los Paraísos 2700,,,
VENTA DEPARTAMENTO 3 DORMITORIOS EN PLENO BV!!!,427.190,Bv. Galvez 2000,124,4,1
VENTA DEPTO DE 1 DORMITORIO EN PLENO BV. GALVEZ,Solicitar precio,Bv Galvez 2000,50,2,1
COCHERA DESCUBIERTA PORTOFINO,19.000,Calle 1º de Enero 100,15,,
DEPARTAMENTO AMUEBLADO 2 DORMITORIOS DIQUE II,190.000,Calle 1º de Enero 100,86,3,2
DEPARTAMENTO PREMIUM AMUEBLADO 1 DORMITORIO,165.000,Calle 1º de Enero 100,80,2,1
Venta Departamento 2 dormitorios en Maria Selva,64.900,San Jerónimo 5800,50,3,1
DEPARTAMENTO AMUEBLADO 1 DORMITORIO EN DIQUE II,125.000,Calle 1º de Enero 100,47,2,1
Venta Departamento 2 Dorm a Estrenar!!!,193.540,9 de Julio 2900,82,3,2
Amplia Casa con Terreno B° Conquistadores,45.500,Calle 14 3600,135,2,1
VENTA GALPÓN AV. BLAS PARERA,110.000,Av Blas Parera 9500,420,,2
Galpón EN VENTA EN B° MARIA SELVA,78.000,Llerena 1800,227,,1
CASA DE 2 PLANTAS 4 DORMITORIOS COCHERA Y PATIO,89.000,Roque Sáenz Peña 3100,187,9,2
Venta casa de 3 dormitorios con cochera,28.500,Europa 10487 10400,200,5,1
VENTA Terreno en Sauce Viejo de 395m2,16.500,Calle Nro.6 S/N,,,
Casa en Venta 4 dorm cochera Roverano Santo tome,35.000,Roverano 2800,168,5,1
Se vende terreno en Sauce Viejo,25.000,Presidente Jose E. Uriburu S/N,,,
VENTA DE CASA QUINTA CON PILETA EN ARROYO LEYES,Solicitar precio,Los Carolinos (numero 76) 1000,176,4,2
RE/MAX vende Quinta en Sauce Viejo,51.000,Irigoyen Freire S/n 1100,104,4,1
Se vende Departamento a Estrenar Ma.Selva,55.000,República de Siria 6000,52.84,2,1
VENTA DE CASA EN BARRIO SAN JOSE,32.000,Pasaje Denis 7100,148,4,1
Planta alta apta credito zona centro,Solicitar precio,25 de Mayo 2500,225,5,1
"Se vende casa con gran potencial, 2 dormi y pileta",35.000,Pasaje 16 3200,117.48,3,1
VENTA TORRE SAKURA-EN POZO S/BOULEVARD DPTO 1 DORM,108.200,Boulevard Pellegrini 2800,47,2,1
DPTO DE 2 DORM PLANTA BAJA AL FRENTE EN MONTE VERA,47.000,Calle Gozzarelli 5700,66.74,3,1
Venta casa en Maria Selva con Jardín,170.000,Delfín Huergo 2400,196,5,3
Amplia casa en Planta Alta a metros de la Peatonal,140.000,Juan de Garay 2600,235,5,2
DEPARTAMENTO A ESTRENAR.,125.000,San Jeronimo 1700,152.4,3,2
SE VENDE SEMIPISO 2 DOR Y COCHERA 9 DE JULIO 1800,115.000,9 de Julio 1800,70,3,1
Casa en venta en el exclusivo Country El Pinar,321.000,Colectora Countrys 100,272.53,8,4
VENTA FONDO DE COMERCIO CASA DE DEPORTES,Solicitar precio,Avenida Lujan 3700,,,
VENTA CASA INTERNA EN EL SUR,90.000,Urquiza 1300,90,4,1
Oportunidad! Piso de categoría en microcentro.,190.000,Tucumán 2700,205,8,2
"MODERNA CASA, CON 5 DORM, PILETA Y PARRILLA.",165.000,Urunday 600,275,6,2
Venta interno dos Dormitorios,39.000,Pietranera 3100,165,4,1
Se vende lote en Country Los Molinos,35.000,Los Molinos Country S/N,,,
Casa quinta 3 dormitorios Colastiné Norte,140.000,Guaycurues 6400,185,4,2
"Venta Casa Colastine:3 dormitorios,patio/piscina.",75.000,Calle Canillitas 4800,177,4,1
Venta Casa Barrio 7 Jefes,Solicitar precio,Avenida de los 7 Jefes 4000,334,7,3
SE VENDE Oficina Amueblada sobre peatonal.,15.000,San Martin Galeria Florida Entre Boulevares Santa 2300,14,,1
Venta departamento 2 dormitorios,51.000,Juan del Campillo 3000,50.72,3,1
RE/MAX Vende Plan Pilay  Sin Adjudicar,53.000,Entre Boulevares 2000,78,3,1
Departamento Planta Baja 2 dormitorios Santo Tomé,55.000,Avenida 7 de Marzo 1200,66.59,3,1
quinta en barrio las paltas,120.000,Calle Guaranimá 6400,800,4,1
VENTA CASA EN BARRIO CANDIOTI NORTE,220.000,Las Heras 3800,155,6,2
Dpto semipiso 2 dormis en venta B° Constituyentes,80.000,Saavedra 3000,73,4,1
VENTA COCHERA EN TORRE SAKURA SOBRE BOULEVARD,26.000,Boulevard Pellegrini 2800,12,,
VENTA TORRE SAKURA-EN POZO-S/BOULEVARD-DPTO 1 DORM,109.400,Boulevard Pellegrini 2800,81.75,2,1
VENTA TORRE SAKURA-EN POZO-S/BOULEVARD-DPTO 1 DORM,105.700,Boulevard Pellegrini 2800,46.35,2,1
Depto Interno Escalante,45.000,1º de Mayo 5300,60,3,1
VENTA TORRE SAKURA-EN POZO S/BOULEVARD DPTO 1 DORM,105.400,Boulevard Pellegrini 2800,47,2,1
VENTA TORRE SAKURA-EN POZO S/BOULEVARD DPTO 1 DORM,108.500,Boulevard Pellegrini 2800,47,2,1
VENTA LOTE EN QUILOAZAS BARRIO PRIVADO,50.000,Calle Desconocida  S/N,,,
Venta cochera cubierta en POZO,16.500,Irigoyen Freyre 2200,12.5,,
OPORTUNIDAD - DPTO A REFECCIONAR - CENTRO,49.900,4 de Enero 2200,65,4,1
VENTA LOTE QUILOAZAS BARRIO PRIVADO,50.000,Calle Desconocida  S/N,,,
DEPARTAMENTO EN EL CENTRO DE SANTO TOMÉ,55.000,J. de Dios Mena 1800,61.97,3,1
CASA A TERMINAR EN BARRIO DOCE DE OCTUBRE-Sta. FE,24.000,Aguado 1700,192,5,1
DEPARTAMENTO MAS LOCAL COMERCIAL,75.000,Corrientes 1500,139.68,4,2
Venta casa Entre Ríos 4700 Santo Tomé con patio,34.000,Entre Ríos 4700,124,4,1
VENTA CASA EN RECREO SUR SOBRE LA RUTA,55.000,Juan de Garay 5100,197,4,1
Casa en venta en Colonia San José,65.000,19 de Marzo 600,106,3,1
CURVA FRAGA EXCELENTE TERRENO LOTE 28,14.000,Estados Unidos S/N,,,
COCHERA | TORRE CAPITAL |,22.500,Avenida General López 2800,12,,
DPTO 1 DORM - SAUCE 47,92.000,Gobernador Vera 3400,46,2,1
Venta - Dpto 2 Dorm y cochera en B° Guadalupe Este,70.000,Patricio Cullen 6800,51.77,3,1
SE VENDE COCHERA ENTRE BV,14.000,Saavedra 2700,12,,
SE VENDE DAPARTAMENTO DE 2 DORMITORIOS Y PATIO,69.000,Martín Zapata 1000,64.4,2,1
GRAN TERRENO RUTA1 C/CASA A REFACCIONAR,230.000,Ruta Provincial 1 Km 19 S/N,,,
Increible casa con gran parque Villa California,Solicitar precio,Los Lapachos y los Grillos 0,679.53,6,4
CASA SOBRE GRAN TERRENO Rincón Potrero calle 140,28.000,Teófilo Madrejon Calle 140 100,432,2,1
SE VENDE CASA SOBRE LA LAGUNA SETUBAL,195.000,Riobamba 8600,317.1,3,4
SE VENDE LOFTS OFFICE - LA IMPRENTA - GUADALUPE,102.600,Espora 1200,51.3,,1
SE VENDE LOFTS OFFICE CENTRAL - LA IMPRENTA,122.600,Espora 1200,61.3,,1
SE VENDE LOFTS OFFICE - LA IMPRENTA - U. LATERALES,99.400,Espora 1200,49.7,,1
VENTA BARRIO CANDIOTI - CASA A MODERNIZAR,155.000,Calchines 1800,151,5,1
VENDO LOTE EN SAUCE VIEJO!!!!,12.500,Calle 0,,,
DEPARTAMENTO 3 AMBIENTES SANTO TOME  1 DORMI,Solicitar precio,Macia 2700,48,3,1
HERMOSO TERRENO EN LAGOS DEL LEYES,9.500,Ruta Provincial 1 S/N,,,
Casa de 2 dormitorios a metros de la Costanera,240.000,Ángel Cassanello 400,203,3,3
Venta Excepcional casa-quinta Altos del Sauce!!!!,230.000,Italia 1000,208.92,6,2
"VENTA DE COCHERA EN ""PORTALES VI""",21.000,Hipolito Irigoyen 2700,12.5,,
Monoambiente en Venta en B° Fomento 9 de Julio,34.000,José Quintana 2800,27.72,1,1
DEPARTAMENTO A ESTRENAR,78.000,Avenida General Paz 6200,81.33,2,1
GALPÓN EN VENTA – BARRIO BELGRANO,190.000,Obispo Boneo 2700,348,,1
"VENTA CASA DE 2 DORMITORIOS, COCHERA Y PATIO",48.000,Obispo Boneo 3800,268,4,1
"CASA EN BARRIO LOS CONQUISTADORES, SAUCE VIEJO",28.000,Calle 51 2900,110,4,1
GRAN CASA CON LOCAL/GALPON,160.000,Avenida Blas Parera 5400,195,6,2
Casa en venta Loteo El Carmen Arroyo Leyes,125.000,Las Limas 0,170,4,1
Venta Terreno - Recreo.,12.000,Calle Presbitero Martínez 0,,,
"Venta de lote en  Recreo, Lehman y D'Anuncio.",12.000,Lehmann S/N,,,
VENTA - LISANDRO DE LA TORRE 2538 - SANTO TOME,195.000,Lisandro de la Torre 2500,517,5,3
VENTA CASA DE CAMPO EN ARROYO LEYES CON GRAN LOTE,145.000,Calle 16 0,208,4,1
¡OPORTUNIDAD UNICA! AMPLIO GALPON SOBRE AVENIDA.,80.000,Avenida José Gorriti 3400,222,,1
Terreno en Los Molinos,46.000,Calle Desconocida  S/N,,,
Terreno en Venta en Ángel Gallardo (b° San Miguel),19.000,Avenida los Quinteros S/N,,,
SE VENDE CASA MUY BIEN UBICADA,Solicitar precio,La Rioja 2200,233,5,2
VENTA casaquinta gran terreno - Altos del Sauce,97.000,Calle Portugal 0,114,4,1
VENTA CASA A METROS DE ARISTÓBULO DEL VALLE,165.000,Lavaisse 2500,185,5,2
Venta casa interna a metros  Av. Facundo Zuviría,55.000,Francia 5300,75,3,1
Casa de 2 dormitorios en PB sobre avenida,54.000,Fray Cayetano Rodríguez 3800,60,3,1
"DPTO DE 2 DORMIT. EN 1 PISO, CON BALCÓN Y ASADOR.",89.001.819ARS,Pedro Díaz Colodrero 3200,58.89,3,2
DPTO DE 2 DORMITORIOS EN PLANTA BAJA CON PATIO,95.557.845ARS,Pedro Díaz Colodrero 3200,88.3,3,1
AMPLIO TERRENO EN VENTA EN SANTO TOMÉ,25.000,Maletti 2500,,,
CASA DE CATEGOTIA EN SANTO TOMÉ APTA CRÉDITO,155.000,Corrientes 1500,382.69,7,4
SE VENDE DEPARTAMENTO EN EXELENTES CONDICIONES,25.000,Frutos 2000,79,4,1
VENTA DEPTO. 1 DORM  CENTRICO MUNDO CONST. EN POZO,150.000,25 de Mayo 2600,70.5,1,1
Venta Duplex 2 dorm B. Centro Mundo const. en pozo,195.000,25 de Mayo 2600,76,3,1
VENTA DUPLEX 2 DORM. CENTRICO MUNDO CONST. EN POZO,195.000,25 de Mayo 2600,76,1,1
VENTA DUPLEX  CENTRICO 2 DORM MUNDO CONST. EN POZO,195.000,25 de Mayo 2600,76,1,1
Venta Dpto 3 dorm B. Centro Mundo const. en pozo,450.000,25 de Mayo 2600,185,4,2
VENTA DPTO CENTRICO  3 DORMMUNDO CONST. EN POZO,450.000,25 de Mayo 2600,185,4,2
VENTA DEPTO.3 DORM.  CENTRICO MUNDO CONST. EN POZO,450.000,25 de Mayo 2600,185,4,2
Venta cochera Centro Mundo Constr. en pozo,25.000,25 de Mayo 2600,15,,
VENTA COCHERA CENTRICA MUNDO CONSTRUC. EN POZO,25.000,25 de Mayo 2600,15,,
VENTA COCHERA EN POZO CENTRICA MUNDO CONS,25.000,25 de Mayo 2600,15,,
VENTA LOFT CENTRICO MUNDO CONST. EN POZO,140.000,25 de Mayo 2600,60,1,1
Venta Loft B. Centro Mundo const. en pozo,140.000,25 de Mayo 2600,60,1,1
TRADICIONAL CASA DE CATEGORIA SOBRE AV. GRAL PAZ,340.000,Avenida General Paz 5200,623,8,2
CAMPO GANADERO A 10' DE SANTA FE CAPITAL,1.000.000,Santo TomÉ S/N,200,,
Nuevo desarrollo en Barrio Candioti,78.000,Luciano Molinas 1800,44.1,2,1
CASA CON COCHERA Y PATIO VERDE en pleno centro,Solicitar precio,Irigoyen Freyre 2600,99,3,1
Departamento un dormitorio a metros de Av. freyre,55.000,Moreno 3200,50,2,1
LOTE EN A. LEYES CON CONSTRUCCIÓN + PISCINA,38.000,Calle Desconocida  0,,,
DEPARTAMENTO A ESTRENAR DE 1 DORMITORIO B CANDIOTI,78.000,Luciano Molinas 1800,44.1,2,1
VENDO QUINTA EN SAUCE VIEJO AMOBLADA,65.000,Calle 6 0,122,4,1
Se vende Casa en Recreo Sur a 30 mts de RN11,58.000,Rn11 5100,74.38,2,1
Plan Pilay en venta de 1 dormitorio,35.000,Entre Boulevares 0,44.7,2,1
Venta Lote en el exclusivo B° privado Santomas,85.000,Autopista Rosario - Santa Fe S/N,,,
Venta cochera en el edificio Sur 3,10.000,Avenida Facundo Zuviría 4800,12.5,,
Venta Monoambiente B. Centro Mundo const. en pozo,115.000,25 de Mayo 2600,42,1,1
VENTA MONO AMBIENTE CENTRICO MUNDO CONST. EN POZO,115.000,25 de Mayo 2600,2067,1,1
VENTA MONOAMBIENTE  CENTRICO MUNDO CONST. EN POZO,115.000,25 de Mayo 2600,42,1,1
"VENTA. Casa de 2 dormitorios, patio y terraza.",135.000,Francia 2500,110,5,1
PROPIEDAD EN BARRIO ROMA,Solicitar precio,Alfonso Duran 4800,283,5,2
Se vende propiedad a refaccionar en Sauce Viejo,22.500,13 0,426,3,1
VENTA Casa Amplia con excelentes terminaciones,79.000,Jujuy 3500,151,6,2
Lote amplio en ubicacion privilegiada,135.000,Juan María Gutiérrez 2700,,,
Venta de dpto. 1 dormitorio en Santo Tomé,31.000,Crespo 3300,32.64,2,1
Casa con muy  buena distribucion,28.000,Tierra del Fuego 3200,110,3,1
DEPARTAMENTO 3 DORMITORIOS EN PEATONAL SAN MARTIN,160.000,San Martín 2100,126,4,2
Se vende o permuta excelente zona,55.000,Gaboto 2400,56,3,1
VENTA DPTO 1 DORMITORIO C/COCHERA EN ZONA CENTRO,110.000,Irigoyen Freyre 2200,51.8,2,1
VENTA terreno en Llambi Campbell.,Solicitar precio,Doctor Tagliari S/N,,,
"VENTA CASA EN LAGUNA PAIVA , CON GRAN POTENCIAL",130.000,Av. San Martin 1400,385,5,1
Gran Terreno de 1630 mts2,55.000,López y Planes 1100,230,4,1
SE VENDE COCHERA CAM 100 - UNIDAD 2.09,25.000,Alvear 2600,12.5,,
SE VENDE COCHERA CAM 100 - UNIDAD 2.08,25.000,Alvear 2600,12.5,,
VENTA PASEO DEL MOLINO 2 DORM (ADJUDICADO)2028,78.000,Maipú 2300,73,6,1
COCHEREA  ED.MUNDO Bv. GALVEZ 1712 PLAZA PUYRREDON,30.000,Boulevard Gálvez 1700,15,,
COCHERA M16 BV. GALVEZ 1712 PLAZA PUEYRREDON,30.000,Boulevard Gálvez 1700,15,,
COCHERA BV GALVEZ Y SARMIENTO PLAZA PUEYRREDON,30.000,Boulevard Gálvez 1700,15,,
PISO 3 DORM BV GALVEZ Y SARMIENTO PLAZA PUEYRREDON,580.000,Boulevard Gálvez 1700,175,4,2
PISO 3 DORM. M16 BV. GALVEZ 1712 PLAZA PUEYRREDON,600.000,Boulevard Gálvez 1700,175,4,2
Piso 3 dorm. MUNDO Bv. GALVEZ 1712 PLAZA PUYRREDON,560.000,Boulevard Gálvez 1700,175,4,2
CURVA FRAGA EXCELENTE TERRENO LOTE 1,14.000,Estados Unidos S/N,,,
DEPTO 2 DORM. M16 BV. GALVEZ 1712 PLAZA PUEYRREDON,330.000,Boulevard Gálvez 1700,110,3,2
DPTO 2 DORM BV GALVEZ Y SARMIENTO PLAZA PUEYRREDON,330.000,Boulevard Gálvez 1700,110,3,2
Dpto 2 dorm. MUNDO Bv. GALVEZ 1712 PLAZA PUYRREDON,280.000,Boulevard Gálvez 1700,110,3,2
DPTO 1 DORM BV GALVEZ Y SARMIENTO PLAZA PUEYRREDON,195.000,Boulevard Gálvez 1700,65,2,1
Casa  de 4 dorm y gran patio verde en Sgto Cabral,Solicitar precio,Necochea 4800,300,5,2
DPTO 1 DORM. M16 BV. GALVEZ 1712 PLAZA PUEYRREDON,185.000,Boulevard Gálvez 1700,65,2,1
Dpto 1 dorm. MUNDO Bv. GALVEZ 1712 PLAZA PUYRREDON,195.000,Boulevard Gálvez 1700,65,2,1
Venta amplia casa en Barrio Sur,Solicitar precio,3 de Febrero 3400,377,8,3
VENTA LOTE EN BARRIO TEMBÉI PORÁ - SAUCE VIEJO,13.000,"Calle Nº 63 S/n, Sauce Viejo S/N",,,
Dpto 2 Dormitorios | TORRE CAPITAL |,191.000,Avenida General López 2800,91,4,2
Dpto 2 Dormitorios | TORRE CAPITAL |,177.000,Avenida General López 2800,91,4,2
Dpto 2 Dormitorios | TORRE CAPITAL |,189.000,Avenida General López 2800,91,4,2
Dpto Piso 3 Dormitorios | TORRE CAPITAL |,409.000,Avenida General López 2800,188,6,3
Departamento 2 dor. en Planta Alta  en G. Paz 6500,55.000,Gral Paz 6500,74,4,1
VENDE 2 CASAS EN COLASTINE S. CON G.TERRENO AL RIO,92.000,Colastine Sur 0,2800,7,2
Propiedad con 2 casas y pileta en venta SauceViejo,99.000,Guatemala y Panamá 0,126,4,2
Casa 3 dormitorios quincho y pileta a metros de R1,Solicitar precio,Matacos 5200,282,5,2
Venta Casa 2 dormi Maria Selva c/patio (PH),58.000,Belgrano 6500,99,4,1
Casa 3 dormitorios y acceso vehicular en Guadalupe,85.000,Regis Martínez 900,88,5,1
RIVADAVIA 7755 - VENTA CASA 1 DORMITORIO,58.000,Rivadavia 7700,230,3,1
VENTA TORRE SAKURA-EN POZO-S/BOULEVARD-DPTO 1 DORM,116.600,Boulevard Pellegrini 2800,81.75,2,1
VENTA DPTO DE 3 DORMITORIOS BARRIO SUR A RECICLAR,65.000,9 de Julio 1200,90,4,1
SE VENDE CASA  3 DORMITORIOS ZONA CENTRO SANTA FE,160.000,9 de Julio 2600,183,5,2
VENTA DEPTO UN DORMITORIO A ESTRENAR EN BARRIO SUR,80.000,Saavedra 1400,51.55,2,1
TERRENO  200mts EN LAVALLE 7653,28.000,Lavalle 7600,,,
Venta casa moderna en jardines de la costa,87.000,Azahar de Monte 0,120,6,2
PLAN PILAY ADJUD. SANTOMÁS CONDOMINIO COLIBRÍ - 1D,49.000,Autopista Rosario Santa Fe - Km 150. 0,43,2,1
Casa A terminar en Venta en Recreo Sur,40.000,"Calle los Zorzales, Barrio Cazadores 0",88,4,2
EXCLUSIVA RESIDENCIA EN BARRIO GUADALUPE!!!,Solicitar precio,Padre Genesio 0,360,7,4
EXCELENTE QUINTA A ESTRENAR EN LAS PALTAS,Solicitar precio,Calle los Claveles 37000,900,7,2
IMPERDIBLE CASA EN VENTA,298.000,Ángel Cassanello 2600,332,8,4
Casa en VENTA 3 dorm cochera en Aristobulo al 8400,95.000,Aristobulo del Valle y Almoncid 8400,257,6,2
"VENTA DPTO 1 DORM - CAM 100 - PISO 9 ""B""",135.000,Alvear 2600,55,2,1
"VENTA DPTO 2 DORM - CAM 100 - PISO 16 ""E""",245.000,Alvear 2600,97,3,2
Venta de parte indivisa  Dpto 2 dormitorios.-,45.000,Avenida Gobernador Freyre 1000,97,4,1
SE VENDE IMPORTANTE CASA EN LAS PALTAS,150.000,Calle los Curupies Las Paltas 5700,250,5,2
Se vende casa de 2 dormitorios Sauce Viejo centro,Solicitar precio,Buenos Aires 0,94,2,1
VENTA CASA PLANTA ALTA DE 3 DORMITORIOS,43.000,Vera Mujica 700,145,4,1
SE VENDE LOCAL EN PEATONAL SAN MARTÍN,25.000,San Martín 2100,13,,1
Departamento en pozo Centro de Santoto.,36.000,Gaboto 1600,40,2,1
CASA CON DOBLE VISTA A CANCHA DE GOLF EN EL PASO,Solicitar precio,Autovia Santa Fe- Rosario 200,393,8,4
TERRENO SAUCE VIEJO BARRIO TEMBEI PORA,14.000,Surubi 900,,,
Terreno en venta en zona El MATE Sauce Viejo,25.000,El Mate S/N,,,
SE VENDE CASA EN SANTO TOME EXCELENTE ZONA 4 DORM.,66.000,Urquiza 2400,182,7,2
CASA EN CLUB DE CAMPO EL PASO,Solicitar precio,Autovia Santa Fe- Rosario 300,298,5,3
Venta departamento 1 dormitorio céntrico .,75.000,Gdor Crespo 2800,76,2,1
"Cochera en Edificio Pilay, San Jerónimo 61",17.000,1º de Mayo 1000,12.5,,
Casa en Sgto. Cabral 2 dormitorios y patio Verde,100.000,Llerena 1600,190,3,1
PLANTA ALTA EN EL CORAZON DE BARRIO CANDIOTI¡¡¡,138.000,Balcarce 2000,80,3,1
VENTA - CASA CON GRAN TERRENO EN CANDIOTI SUR,242.000,Sargento Cabral 1700,242,6,3
CASA 3 dorm con pileta a mts de A. del Valle 7700,110.000,Rivadavia 7700,266,4,2
Lote a metros de Gobernador Freyre,Solicitar precio,Los Cedros S/N,,,
CASA QUINTA  en ruta 1 km 17-Arroyo Leyes,Solicitar precio,Tijeretas 0,708,3,1
